,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,Year
26,27,27,BRK,Cam Thomas,LSU,2,124,2124,1174,256,156,.437,.319,.853,17.1,9.5,2.1,1.3,1.8,.040,-3.1,-0.6,2021
27,28,28,PHI,Jaden Springer,Tennessee,2,18,95,44,16,8,.500,.400,.750,5.3,2.4,0.9,0.4,0.3,.144,1.4,0.1,2021
28,29,29,PHO,Day'Ron Sharpe,UNC,2,80,943,425,360,54,.559,.444,.615,11.8,5.3,4.5,0.7,2.8,.144,-2.5,-0.1,2021
29,30,30,UTA,Santi Aldama,Loyola (MD),2,109,2042,828,458,118,.457,.318,.727,18.7,7.6,4.2,1.1,4.9,.115,-0.6,0.7,2021
30,,,,Round 2,Round 2,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced,2021
31,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,2021
32,31,31,MIL,Isaiah Todd,,2,18,135,29,24,8,.222,.192,.500,7.5,1.6,1.3,0.4,-0.3,-.124,-10.2,-0.3,2021
33,32,32,NYK,Jeremiah Robinson-Earl,Villanova,2,92,1901,658,454,92,.427,.344,.781,20.7,7.2,4.9,1.0,3.4,.085,-1.9,0.1,2021
34,33,33,ORL,Jason Preston,Ohio University,1,14,124,41,22,27,.439,.278,.000,8.9,2.9,1.6,1.9,0.1,.021,-2.6,0.0,2021
35,34,34,OKC,Rokas Jokubaitis,,,,,,,,,,,,,,,,,,,2021
36,35,35,NOP,Herbert Jones,Alabama,2,144,4286,1391,565,329,.473,.336,.802,29.8,9.7,3.9,2.3,8.9,.099,-0.4,1.7,2021
37,36,36,OKC,Miles McBride,West Virginia,2,104,1132,311,92,113,.337,.282,.667,10.9,3.0,0.9,1.1,1.0,.042,-3.0,-0.3,2021
38,37,37,DET,JT Thor,Auburn,2,102,1231,329,195,55,.406,.307,.672,12.1,3.2,1.9,0.5,0.5,.019,-4.4,-0.7,2021
39,38,38,CHI,Ayo Dosunmu,Illinois,2,157,4208,1366,434,462,.506,.344,.744,26.8,8.7,2.8,2.9,6.0,.068,-2.2,-0.3,2021
40,39,39,SAC,Neemias Queta,Utah State University,2,20,149,57,42,7,.489,,.579,7.5,2.9,2.1,0.4,0.2,.070,-4.8,-0.1,2021
41,40,40,NOP,Jared Butler,Baylor,2,48,437,198,49,71,.415,.343,.688,9.1,4.1,1.0,1.5,0.5,.058,-1.8,0.0,2021
42,41,41,SAS,Joe Wieskamp,Iowa,2,38,255,70,18,12,.329,.309,.538,6.7,1.8,0.5,0.3,0.1,.013,-5.3,-0.2,2021
43,42,42,DET,Isaiah Livers,Michigan,2,71,1582,467,200,62,.426,.378,.830,22.3,6.6,2.8,0.9,1.7,.052,-2.2,-0.1,2021
44,43,43,NOP,Greg Brown III,Texas,2,64,733,253,154,38,.422,.294,.636,11.5,4.0,2.4,0.6,0.2,.016,-5.2,-0.6,2021
45,44,44,BRK,Kessler Edwards,Pepperdine,2,84,1372,384,233,54,.406,.340,.794,16.3,4.6,2.8,0.6,1.0,.036,-3.9,-0.7,2021
46,45,45,BOS,Juhann Begarin,,,,,,,,,,,,,,,,,,,2021
47,46,46,TOR,Dalano Banton,Nebraska,2,95,975,347,169,135,.416,.275,.632,10.3,3.7,1.8,1.4,0.8,.040,-2.4,-0.1,2021
48,47,47,TOR,David Johnson,Louisville,1,2,2,0,0,0,.000,.000,,1.0,0.0,0.0,0.0,0.0,-.495,-27.7,0.0,2021
49,48,48,ATL,Sharife Cooper,Auburn,1,13,39,7,5,5,.214,.167,,3.0,0.5,0.4,0.4,-0.2,-.297,-16.3,-0.1,2021
50,49,49,BRK,Marcus Zegarowski,Creighton,,,,,,,,,,,,,,,,,,2021
51,50,50,PHI,Filip Petrušev,Gonzaga,,,,,,,,,,,,,,,,,,2021
52,51,51,MEM,Brandon Boston Jr.,Kentucky,2,73,1008,486,141,71,.394,.329,.800,13.8,6.7,1.9,1.0,0.6,.030,-3.1,-0.3,2021
53,52,52,DET,Luka Garza,Iowa,2,60,632,367,163,38,.490,.341,.699,10.5,6.1,2.7,0.6,1.8,.138,-1.7,0.0,2021
54,53,53,PHI,Charles Bassey,Western Kentucky,2,58,676,268,255,54,.643,.250,.633,11.7,4.6,4.4,0.9,2.1,.147,0.8,0.5,2021
55,54,54,IND,Sandro Mamukelashvili,Seton Hall,2,84,1067,417,267,84,.446,.344,.722,12.7,5.0,3.2,1.0,2.0,.091,-1.6,0.1,2021
56,55,55,OKC,Aaron Wiggins,Maryland,2,120,2506,895,388,148,.489,.346,.776,20.9,7.5,3.2,1.2,3.8,.074,-3.1,-0.7,2021
57,56,56,CHO,Scottie Lewis,Florida,1,2,7,1,0,1,,,.500,3.5,0.5,0.0,0.5,0.0,.164,6.0,0.0,2021
58,57,57,CHO,Balša Koprivica,Florida State,,,,,,,,,,,,,,,,,,2021
59,58,58,NYK,Jericho Sims,Texas,2,93,1367,268,411,46,.758,.000,.533,14.7,2.9,4.4,0.5,4.1,.143,-1.0,0.3,2021
60,59,59,BRK,RaiQuan Gray,Florida State,1,1,35,16,9,7,.500,.400,1.000,35.0,16.0,9.0,7.0,0.1,.106,-2.0,0.0,2021
61,60,60,IND,Georgios Kalaitzakis,,1,13,214,86,21,12,.463,.385,.467,16.5,6.6,1.6,0.9,-0.1,-.024,-7.0,-0.3,2021
0,1,1,ORL,Paolo Banchero,Duke,1,72,2430,1437,497,269,.427,.298,.738,33.8,20.0,6.9,3.7,2.4,.047,-1.5,0.3,2022
1,2,2,OKC,Chet Holmgren,Gonzaga,,,,,,,,,,,,,,,,,,2022
2,3,3,HOU,Jabari Smith Jr.,Auburn,1,79,2451,1010,569,101,.408,.307,.786,31.0,12.8,7.2,1.3,1.9,.037,-3.7,-1.1,2022
3,4,4,SAC,Keegan Murray,Iowa,1,80,2382,976,371,98,.453,.411,.765,29.8,12.2,4.6,1.2,4.3,.087,-0.6,0.8,2022
