,Unnamed: 0,Change,Height,Weight,Pos,School/Team,Class,Year,Player Name
36,37,7.0,7-1,230.0,C,Duke,Fr.,2023,Dereck Lively
37,38,-14.0,6-5,205.0,SG,Florida,Fr.,2023,Riley Kugel
38,39,1.0,6-5,185.0,PG/SG,UCLA,Fr.,2023,Amari Bailey
39,40,-1.0,6-7,225.0,SF,UCLA,Sr.,2023,Jaime Jaquez
40,41,-12.0,6-10,210.0,PF,Alabama,Fr.,2023,Noah Clowney
41,42,,6-4,185.0,PG/SG,Miami,Sr.,2023,Isaiah Wong
42,43,,7-0,210.0,C,Indiana,Fr.,2023,Kel Ware
43,44,58.0,6-7,195.0,SG,Miami,Sr.,2023,Jordan Miller
44,45,,6-2,195.0,PG/SG,Houston,Sr.,2023,Marcus Sasser
45,46,,6-6,205.0,SG,Arkansas,Jr.,2023,Ricky Council
46,47,,6-3,185.0,SG,Baylor,Sr.,2023,Adam Flagler
47,48,20.0,6-8,220.0,SF,Princeton,Sr.,2023,Tosan Evbuomwan
48,49,,6-9,210.0,SF/PF,Tofas Bursa,2004,2023,Berke Buyuktuncel
49,50,1.0,6-9,230.0,PF/C,Gonzaga,Sr.,2023,Drew Timme
50,51,10.0,6-9,245.0,PF/C,UConn,Jr.,2023,Adama Sanogo
51,52,2.0,7-4,290.0,C,Purdue,Jr.,2023,Zach Edey
52,53,2.0,6-10,225.0,PF,Illinois,Jr.,2023,Coleman Hawkins
53,54,2.0,6-6,205.0,SG,Xavier,Jr.,2023,Colby Jones
54,55,3.0,6-10,225.0,SF/PF,Wake Forest,Fr.,2023,Bobi Klintman
55,56,46.0,7-2,265.0,C,UConn,Fr.,2023,Donovan Clingan
56,57,18.0,6-7,200.0,SG,Creighton,Sr.,2023,Baylor Scheierman
57,58,1.0,6-2,200.0,PG,Oklahoma,Sr.,2023,Grant Sherfield
58,59,43.0,6-4,210.0,SG,Penn State,Sr.,2023,Jalen Pickett
59,60,-10.0,6-11,260.0,C,UCLA,Fr.,2023,Adem Bona
60,61,-1.0,6-8,220.0,SF/PF,Duke,Fr.,2023,Mark Mitchell
61,62,,6-8,215.0,SG,0,2004,2023,Nikola Djurisic
62,63,-10.0,6-6,190.0,SF,NBA Academy Africa,2004,2023,Thierry Darlan
63,64,9.0,6-8,205.0,SF,Texas,Fr.,2023,Dillon Mitchell
64,65,-2.0,6-10,200.0,C,FC Barcelona,2004,2023,James Nnaji
65,66,16.0,6-8,225.0,SF/PF,Gonzaga,Sr.,2023,Anton Watson
66,67,35.0,6-9,230.0,PF,Maryland,So.,2023,Julian Reese
67,68,34.0,7-1,255.0,C,Creighton,Jr.,2023,Ryan Kalkbrenner
68,69,-17.0,6-11,245.0,PF,Arizona,Jr.,2023,Azuolas Tubelis
69,70,-4.0,6-6,185.0,SG,Mega Soccerbet,2001,2023,Malcolm Cazalon
70,71,-23.0,6-1,190.0,PG,Baylor,Jr.,2023,Cryer Cryer
71,72,-8.0,6-11,210.0,PF/C,Washington State,So.,2023,Mouhamed Gueye
72,73,-4.0,6-10,190.0,SG,Eastern Michigan,So.,2023,Emoni Bates
73,74,-4.0,6-3,190.0,PG/SG,St. Mary's,Fr.,2023,Aidan Mahaney
74,75,-18.0,6-6,215.0,SG,Illinois,Sr.,2023,Terrence Shannon
75,76,-4.0,6-11,245.0,PF,Mississippi St.,Sr.,2023,Tolu Smith
76,77,-12.0,6-7,220.0,SF/PF,Creighton,So.,2023,Arthur Kaluma
77,78,-4.0,6-9,260.0,PF/C,Kentucky,Sr.,2023,Oscar Tshiebwe
78,79,-12.0,6-6,220.0,SG/SF,Penn State,Sr.,2023,Seth Lundy
79,80,-3.0,6-7,210.0,SF,Washington,Sr.,2023,Keion Brooks
80,81,-3.0,6-2,165.0,PG,UAB,So.,2023,Eric Gaines
81,82,-3.0,6-8,195.0,SG/SF,AEK BC,2001,2023,Nikos Rogkavopoulos
82,83,-3.0,6-10,230.0,PF,Dayton,So.,2023,Da Holmes
83,84,-3.0,6-5,195.0,SG,G-League Ignite,2002,2023,Mojave King
84,85,-14.0,6-3,180.0,PG,Virginia,Jr.,2023,Reece Beekman
85,86,-3.0,6-3,180.0,PG,Real Madrid,2004,2023,Juan Nunez
86,87,8.0,6-1,175.0,PG,Alabama,Sr.,2023,Jahvon Quinerly
87,88,-4.0,6-7,205.0,SF,Arkansas,Fr.,2023,Jordan Walsh
88,89,-4.0,6-7,230.0,SF,Stanford,So.,2023,Harrison Ingram
89,90,-4.0,6-9,210.0,PF/C,Dragons Rhoendorf,2004,2023,Ousmane Ndiaye
90,91,-4.0,6-8,200.0,SF,Tennessee,Fr.,2023,Julian Phillips
91,92,9.0,6-5,210.0,SG,UCLA,Jr.,2023,Jaylen Clark
92,93,-4.0,6-5,225.0,SG,Georgetown,So.,2023,Brandon Murray
93,94,-18.0,6-7,225.0,SF,Baylor,Jr.,2023,Jalen Bridges
94,95,-5.0,6-5,200.0,SG,Miami,So.,2023,Wooga Poplar
95,96,-5.0,6-8,200.0,PF,Kedainiai Nevezis,2004,2023,Paulius Murauskas
96,97,-5.0,6-5,205.0,SG,Kentucky,Sr.,2023,Antonio Reeves
97,98,-4.0,6-0,175.0,PG,Texas,So.,2023,Tyrese Hunter
98,99,-1.0,6-9,205.0,SF,North Carolina,Sr.,2023,Leaky Black
99,100,-3.0,5-8,160.0,PG,Kansas State,Sr.,2023,Markquis Nowell
